_c0,Title,Organization,Skills,Ratings,Number of Reviews,Difficulty,Min Duration (Months),Max Duration (Months)
105,"JavaScript Programming with React, Node & MongoDB",IBM,"Javascript, Computer Programming, Web Development, Computer Science, Front-End Web Development, NoSQL, React (web framework)",4.3,53000,Beginner - Specialization,3,6
106,Digital Product Management,University of Virginia,"Agile Software Development, Product Management, Leadership and Management, Design and Product, Software Engineering, Product Development, Project Management, User Experience, Customer Analysis, Product Design, User Research, Data Analysis, Communication, Continuous Delivery, People Analysis, Planning, Product Strategy, Strategy",4.7,9000,Beginner - Specialization,3,6
107,Graphic Design,California Institute of the Arts,"Graphic Design, Visual Design, Communication, Computer Graphic Techniques, Computer Graphics, Creativity, Graph Theory, Visualization (Computer Graphics), Geometry, Interactive Design",4.7,20000,Beginner - Specialization,3,6
108,"Python for Data Science, AI & Development",IBM,"Python Programming, Computer Programming, Data Analysis",4.6,34000,Beginner - Course,1,3
109,AWS Cloud Solutions Architect,Amazon Web Services,"Amazon Web Services, Cloud Computing, Cloud Storage, Data Management, Big Data, Cloud Applications, Cloud Engineering, Cloud Platforms, Data Analysis, Data Warehousing, Extract, Transform, Load, Cloud Management, Data Architecture, Cloud Infrastructure, Data Visualization, Database Design, Other Cloud Platforms and Tools, Software Architecture, Leadership and Management, Machine Learning",4.8,4000,Intermediate - Professional Certificate,3,6
110,Preparing for Google Cloud Certification: Cloud Security Engineer,Google Cloud,"Cloud Computing, Google Cloud Platform, Cloud Platforms, Cloud Engineering, Cloud Infrastructure, Network Security, Computer Networking, Computer Security Models, Cloud Applications, Cloud Management, Cloud Storage, Network Architecture, Software Security, System Security, Other Cloud Platforms and Tools, Security Engineering, Security Strategy, Google App Engine, Network Model, Computer Security Incident Management, DevOps, Software-Defined Networking, Security Software, Kubernetes, Leadership and Management",4.7,49000,Intermediate - Professional Certificate,3,6
111,AWS Cloud Technology Consultant,Amazon Web Services,"Amazon Web Services, Cloud API, Cloud Computing, Cloud Infrastructure, Cloud Storage, Continuous Integration, Customer Support, Data Analysis, Data Architecture, DevOps, Information Technology, Leadership and Management, Project Management, Python Programming, Software Architecture, Software Testing, Strategy, Web Development",4.8,4000,Beginner - Professional Certificate,3,6
112,Preparing for Google Cloud Certification: Cloud Data Engineer,Google Cloud,"Cloud Computing, Google Cloud Platform, Cloud Platforms, Big Data, Data Management, Data Analysis, Data Analysis Software, Databases, Computer Networking, Applied Machine Learning, Data Warehousing, Machine Learning, SQL, Communication, Cloud Storage, Data Architecture, Human Learning, Machine Learning Algorithms, Machine Learning Software, Algorithms, Cloud Applications, Cloud Infrastructure, Distributed Computing Architecture, Business Analysis, Leadership and Management, Problem Solving, Apache, Python Programming, Warehouse Management, Feature Engineering, Statistical Programming, Tensorflow",4.6,18000,Intermediate - Professional Certificate,3,6
113,Data Analysis and Presentation Skills: the PwC Approach,PwC,"Data Analysis, Business Analysis, Data Management, Data Visualization, Microsoft Excel, Data Analysis Software, Spreadsheet Software, Problem Solving, Statistical Analysis, Interactive Data Visualization, Data Structures, Statistical Visualization, Extract, Transform, Load, Data Model, Data Visualization Software, General Statistics, Big Data, Critical Thinking, Professional Development, Visualization (Computer Graphics), Decision Making, Communication, Business Communication, Storytelling, Customer Analysis, Forecasting, Visual Design, Planning",4.6,11000,Beginner - Specialization,3,6
114,AWS Fundamentals,Amazon Web Services,"Amazon Web Services, Cloud Computing, Cloud Infrastructure, Cloud Management, Cloud Applications, Cloud Platforms, Cloud Engineering, Cloud Storage, Network Security, Cloud API, Cloud-Based Integration, Computer Security Models, Security Engineering, Security Software, Security Strategy, System Security, Software Security, Distributed Computing Architecture, Other Cloud Platforms and Tools, Data Management, Database Application, Database Design, Databases, Software Architecture, Data Architecture, Continuous Delivery, Data Visualization, Leadership and Management, Data Analysis",4.8,4000,Beginner - Specialization,1,3
115,Learn SQL Basics for Data Science,"University of California, Davis","Databases, SQL, Data Management, Data Analysis, Big Data, Data Model, Exploratory Data Analysis, Database Administration, Problem Solving, Database Design, Business Analysis, Database Application, Extract, Transform, Load, Critical Thinking, Apache, Data Architecture, Customer Analysis, Distributed Computing Architecture, Data Science",4.6,17000,Beginner - Specialization,3,6
116,Leadership Skills,IIMA - IIM Ahmedabad,"Communication, Leadership and Management, People Management",4.8,95000,Beginner - Course,1,3
117,Introduction to Generative AI,Google Cloud,"Artificial Neural Networks, Deep Learning, Machine Learning",4.6,2000,Beginner - Course,1,4
118,Tools of the Trade: Linux and SQL,Google,"Linux, Databases, SQL",4.8,,Beginner - Course,1,4
119,"Data Engineering, Big Data, and Machine Learning on GCP",Google Cloud,"Google Cloud Platform, Cloud Computing, Cloud Platforms, Big Data, Data Analysis, Data Management, Applied Machine Learning, Data Warehousing, Machine Learning, SQL, Cloud Storage, Data Architecture, Human Learning, Machine Learning Algorithms, Machine Learning Software, Algorithms, Cloud Applications, Cloud Infrastructure, Distributed Computing Architecture, Apache, Python Programming, Warehouse Management, Feature Engineering, Statistical Programming, Tensorflow",4.6,18000,Intermediate - Specialization,3,6
120,Construction Management,Columbia University,"Project Management, Leadership and Management, Strategy and Operations, Planning, Estimation, Operations Management, Budget Management, Accounting, Decision Making, Finance, Cost Accounting, Critical Thinking, Financial Accounting, Performance Management, Strategy, Financial Analysis, Investment Management, Financial Management, Process Analysis, Risk Management, Computational Thinking, Computational Logic, Statistical Visualization, Collaboration, Innovation, Change Management, Business Transformation, Supply Chain and Logistics, Feature Engineering, Entrepreneurship",4.7,8000,Beginner - Specialization,3,6
121,Cybersécurité Google,Google,"Linux, SQL",4.7,67000,Beginner - Professional Certificate,3,6
122,Ciberseguridad de Google,Google,"Computer Programming, Databases, Linux, Python Programming, SQL",4.9,1000,Beginner - Professional Certificate,3,6
123,Preparing for Google Cloud Certification: Cloud Developer,Google Cloud,"Cloud Applications, Cloud Computing, Google Cloud Platform, Cloud Infrastructure, Cloud Platforms, Cloud API, Cloud Engineering, Other Cloud Platforms and Tools, Cloud Management, Cloud Storage, Cloud Load Balancing, DevOps, Application Development, Google App Engine, Software Architecture, Computer Architecture, Docker (Software), Machine Learning Software, Kubernetes",4.7,51000,Intermediate - Professional Certificate,3,6
124,Project Planning: Putting It All Together,Google,"Project Management, Strategy and Operations, Leadership and Management, Entrepreneurship, Finance, Planning, Supply Chain and Logistics, Budget Management, Communication, Risk Management, Procurement",4.8,11000,Beginner - Course,1,3
125,Search Engine Optimization (SEO),"University of California, Davis","Marketing, Search Engine Optimization, Digital Marketing, Strategy, Social Media, User Experience, Customer Analysis, Media Strategy & Planning, User Research, Web Development, Market Analysis, Data Analysis, Market Research, Marketing Management, Marketing Psychology, User Experience Design, Web Development Tools, Algorithms, Brand Management, Communication, Critical Thinking, Influencing, Audit, Customer Relationship Management",4.6,12000,Beginner - Specialization,3,6
126,Data Structures and Algorithms,University of California San Diego,"Algorithms, Theoretical Computer Science, Computer Programming, Data Structures, Problem Solving, Mathematics, Computational Thinking, Computer Programming Tools, Computational Logic, Critical Thinking, Graph Theory, Programming Principles, Mathematical Theory & Analysis, C++ Programming, Algebra, Software Testing",4.6,16000,Intermediate - Specialization,3,6
127,Preparing for Google Cloud Certification: Cloud Network Engineer,Google Cloud,"Cloud Computing, Google Cloud Platform, Cloud Platforms, Cloud Engineering, Cloud Infrastructure, Computer Networking, Cloud Applications, Other Cloud Platforms and Tools, Cloud Management, Cloud Storage, Network Architecture, Network Model, Network Security, DevOps, Software-Defined Networking, Google App Engine, Kubernetes, Leadership and Management",4.7,48000,Intermediate - Professional Certificate,3,6
128,Attract and Engage Customers with Digital Marketing,Google,"Digital Marketing, Marketing, Search Engine Optimization, Marketing Management, Advertising, Media Strategy & Planning, Persona Research, Web Design, Web Development, Web Development Tools",4.8,4000,Beginner - Course,1,4
129,Introduction to Psychology,Yale University,Critical Thinking,4.9,27000,Beginner - Course,1,3
130,Networking in Google Cloud,Google Cloud,"Cloud Computing, Google Cloud Platform, Cloud Platforms, Cloud Engineering, Cloud Infrastructure, Computer Networking, Cloud Applications, Other Cloud Platforms and Tools, Cloud Management, Cloud Storage, Network Architecture, Network Model, Network Security, DevOps, Software-Defined Networking, Google App Engine, Kubernetes, Leadership and Management",4.7,48000,Intermediate - Specialization,3,6
131,Linear Algebra for Machine Learning and Data Science,DeepLearning.AI,"Algebra, Linear Algebra, Mathematics, Python Programming, Critical Thinking, Dimensionality Reduction, Machine Learning Algorithms, Mathematical Theory & Analysis, Machine Learning",4.5,,Beginner - Course,1,4
132,Developing Applications with Google Cloud,Google Cloud,"Cloud Computing, Google Cloud Platform, Cloud Applications, Cloud Platforms, Cloud API, Cloud Infrastructure, Other Cloud Platforms and Tools, Cloud Engineering, Cloud Management, Cloud Storage, Application Development, DevOps, Google App Engine, Software Architecture, Computer Architecture, Machine Learning Software, Kubernetes",4.7,48000,Intermediate - Specialization,3,6
133,Security in Google Cloud,Google Cloud,"Google Cloud Platform, Cloud Computing, Cloud Platforms, Cloud Infrastructure, Cloud Management, Security Engineering, System Security, Cloud Applications, Cloud Engineering, Computer Security Models, Other Cloud Platforms and Tools, Cloud Storage, Network Security, Security Software, Security Strategy, Software Security, DevOps, Google App Engine, Kubernetes",4.7,48000,Intermediate - Specialization,3,6
134,ChatGPT Advanced Data Analysis,Vanderbilt University,Data Analysis,4.9,15000,Beginner - Course,1,3
135,Digital Marketing,University of Illinois at Urbana-Champaign,"Digital Marketing, Marketing, Market Analysis, Media Strategy & Planning, Social Media, Data Analysis, Market Research, Advertising, Communication, Strategy, Business Analysis, Data Visualization, Exploratory Data Analysis, Data Management, Brand Management, Marketing Management, Data Analysis Software, Decision Making, Marketing Design, Critical Thinking, Process Analysis, Business Communication, Business Intelligence, Business Transformation, Interactive Data Visualization, Collaboration, Innovation, Planning",4.7,22000,Beginner - Specialization,3,6
136,What is Data Science?,IBM,"Data Science, Data Mining, Big Data, Data Analysis, Deep Learning, Machine Learning, Regression, Writing",4.7,67000,Beginner - Course,1,4
137,Gestión de Proyectos de Google,Google,"Leadership and Management, Project Management, Strategy and Operations, Organizational Development, Planning, Strategy, Collaboration, Communication, Adaptability, Change Management, Decision Making, Media Strategy & Planning, Process Analysis, Probability & Statistics, Risk Management, Scrum (Software Development), Agile Software Development, Budget Management, Natural Language Processing, Product Management, Prospecting and Qualification, Search Engine Optimization, Product Development, Estimation, Software Engineering, Supply Chain and Logistics",4.9,6000,Beginner - Professional Certificate,3,6
138,Business Strategy,University of Virginia,"Strategy, Strategy and Operations, Leadership and Management, Entrepreneurship, Marketing, Sales, Market Analysis, Business Development, Business Analysis, Business Transformation, Finance, Investment Management, Planning, Product Strategy, Business Design, Research and Design, Risk Management",4.8,,Beginner - Specialization,3,6
139,"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,"Front-End Web Development, HTML and CSS, Javascript, Web Development",4.7,16000,Mixed - Course,1,3
140,Applied Data Science with Python,University of Michigan,"Python Programming, Data Analysis, Computer Programming, Machine Learning, Algorithms, Applied Machine Learning, Data Mining, Machine Learning Algorithms, Exploratory Data Analysis, Statistical Programming, Data Management, Extract, Transform, Load, Natural Language Processing, Critical Thinking, Statistical Machine Learning, Graph Theory, Network Analysis, Computer Programming Tools, Human Learning, Data Visualization, Network Model, Data Analysis Software, Regression, Computer Networking, General Statistics, Network Architecture, Plot (Graphics), Visualization (Computer Graphics), Computer Graphics",4.5,34000,Intermediate - Specialization,3,6
141,Google データアナリティクス,Google,"Data Analysis, Databases, Data Analysis Software, Data Management, Data Visualization, SQL, Spreadsheet Software, Business Analysis, Process Analysis, Microsoft Excel, Data Structures, Business Research, Problem Solving, R Programming, Visualization (Computer Graphics), Data Visualization Software, Decision Making, Exploratory Data Analysis, Big Data, Communication, Planning, Statistical Analysis, Tableau Software, Computer Programming, Plot (Graphics), Leadership and Management",4.7,32000,Beginner - Professional Certificate,3,6
142,Foundations of Positive Psychology,University of Pennsylvania,Resilience,4.8,7000,Beginner - Specialization,3,6
143,Introduction to Data Analytics,IBM,"Data Analysis, Databases, Python Programming, SQL, Data Management, Data Mining, Data Science, Data Visualization, NoSQL, R Programming, Microsoft Excel",4.8,14000,Beginner - Course,1,3
144,DevOps on AWS,Amazon Web Services,"Amazon Web Services, Cloud Computing, Continuous Delivery, Continuous Integration, DevOps, Devops Tools, Cloud Applications, Cloud Infrastructure, Cloud Management, Cloud Platforms, Cloud Standards, Software Testing, Leadership and Management, Cloud Storage",4.8,4000,Intermediate - Specialization,1,3
145,Mathematics for Machine Learning,Imperial College London,"Algebra, Linear Algebra, Mathematics, Machine Learning, Mathematical Theory & Analysis, Computer Programming, Python Programming, Machine Learning Algorithms, Calculus, Computational Logic, Algorithms, Applied Machine Learning, Differential Equations, Problem Solving, Statistical Analysis, Dimensionality Reduction, Statistical Programming, Regression",4.6,14000,Beginner - Specialization,3,6
146,Certified in Cybersecurity,ISC2,"Computer Security Incident Management, Risk Management, Leadership and Management, Network Security, Cryptography, Cyberattacks, Operations Management",4.8,47000,Beginner - Specialization,3,6
147,"Start the UX Design Process: Empathize, Define, and Ideate",Google,"Audit, Collaboration, Human Computer Interaction, User Experience, User Experience Design, User Research",4.8,14000,Beginner - Course,1,4
148,Connected Leadership,Yale University,"Leadership and Management, Change Management, People Management, Process Analysis",4.8,27000,Beginner - Course,1,3
149,"Unsupervised Learning, Recommenders, Reinforcement Learning",DeepLearning.AI,"Algorithms, Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Human Learning, Deep Learning, Machine Learning Software, Artificial Neural Networks, Reinforcement Learning, Tensorflow",4.9,2000,Beginner - Course,1,4
150,Supply Chain Management,Rutgers the State University of New Jersey,"Supply Chain Systems, Supply Chain and Logistics, Planning, Strategy and Operations, Business Process Management, Inventory Management, Leadership and Management, Operations Management, Business Analysis, Continuous Delivery, Data Analysis, Estimation, Forecasting, Spreadsheet Software, Statistical Analysis, Strategy, Warehouse Management, Probability & Statistics, Transportation Operations Management, Material Handling, Shipping and Receiving, Store Management, Operations Research, Performance Management",4.7,14000,Beginner - Specialization,3,6
151,"TESOL Certificate, Part 1: Teach English Now!",Arizona State University,"Human Learning, Planning, Strategy, Mergers & Acquisitions",4.9,17000,Beginner - Specialization,3,6
152,Reinforcement Learning,University of Alberta,"Machine Learning, Reinforcement Learning, Algorithms, Human Learning, Machine Learning Algorithms, Applied Machine Learning, Computer Programming, Python Programming, Statistical Machine Learning, Statistical Programming, Artificial Neural Networks, Planning, Decision Making",4.7,3000,Intermediate - Specialization,3,6
153,Tableau Business Intelligence Analyst,Tableau Learning Partner,"Business Analysis, Data Analysis, Data Architecture, Data Management, Data Visualization, Interactive Data Visualization, Project Management, Tableau Software",4.7,16000,Beginner - Professional Certificate,3,6
154,Process Data from Dirty to Clean,Google,"Data Analysis, SQL, Spreadsheet Software, General Statistics, Databases, Extract, Transform, Load, Microsoft Excel",4.8,14000,Beginner - Course,1,3
155,Generative Adversarial Networks (GANs),DeepLearning.AI,"Machine Learning, Artificial Neural Networks, Machine Learning Algorithms, Python Programming, Deep Learning, Machine Learning Software, Statistical Programming, Computer Vision, Computer Programming, Human Learning, Problem Solving",4.7,2000,Intermediate - Specialization,1,3
156,Improve Your English Communication Skills,Georgia Institute of Technology,"Communication, Writing, Business Communication, Professional Development",4.7,26000,Beginner - Specialization,3,6
157,Agile Project Management,Google,"Agile Software Development, Software Engineering, Project Management, Scrum (Software Development), Strategy and Operations, Collaboration, Leadership and Management, Communication, Entrepreneurship, Product Management, Influencing, Problem Solving",4.8,11000,Beginner - Course,1,4
158,Security Analyst Fundamentals,IBM,"Security Strategy, Computer Security Incident Management, Python Programming, Cyberattacks, DevOps, Mobile Security, Software Security, System Software, Computer Programming, Leadership and Management",4.7,3000,Beginner - Specialization,3,6
159,Data Science,Johns Hopkins University,"R Programming, Data Analysis, Statistical Programming, Statistical Analysis, Computer Programming, Exploratory Data Analysis, General Statistics, Problem Solving, Data Analysis Software, Probability & Statistics, Computer Programming Tools, Critical Thinking, Programming Principles, Statistical Tests, Data Management, Data Structures, Statistical Machine Learning, Basic Descriptive Statistics, Algorithms, Data Model, Human Learning, Machine Learning, Machine Learning Algorithms, Process Analysis, Correlation And Dependence, Data Visualization, Data Visualization Software, Plot (Graphics), Regression, Computer Graphics, Interactive Data Visualization, Applied Machine Learning, Big Data, Computational Thinking, Data Mining, Estimation, Extract, Transform, Load, Mathematics, Probability Distribution, Databases, Machine Learning Software, Communication, Computer Graphic Techniques, Knitr, Natural Language Processing, Visualization (Computer Graphics), Interactive Design, Web Development",4.5,50000,Beginner - Specialization,3,6
160,Google Marketing Digital e E-Commerce,Google,"E-Commerce, Marketing, Search Engine Optimization, Strategy",4.9,1000,Beginner - Professional Certificate,3,6
161,Meta Marketing Analytics,Meta,"Marketing, Digital Marketing, Advertising, Data Analysis, Marketing Management, Media Strategy & Planning, Business Analysis, Statistical Analysis, Probability & Statistics, Market Analysis, Communication, General Statistics, Experiment, Regression, Statistical Tests, Market Research, Basic Descriptive Statistics, Probability Distribution, Brand Management, Forecasting, Research and Design, Data Visualization, Computer Programming, Data Management, Databases, Python Programming, SQL, Statistical Programming, Storytelling, Tableau Software",4.7,2000,Beginner - Professional Certificate,3,6
162,"NoSQL, Big Data, and Spark Foundations",IBM,"Apache, Big Data, Data Management, Distributed Computing Architecture, Databases, NoSQL, Extract, Transform, Load, SQL, Cloud Computing, Data Model, Machine Learning, Data Architecture, Database Administration, Database Design, Cloud Applications, IBM Cloud, Kubernetes, Python Programming, Data Warehousing",4.4,49000,Beginner - Specialization,3,6
163,Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,"Computer Programming, C Programming Language Family, Data Structures, Algorithms, C++ Programming, Theoretical Computer Science, Programming Principles, Computational Thinking, Problem Solving, Computer Programming Tools, Critical Thinking, Graph Theory",4.7,3000,Intermediate - Specialization,1,3
164,Regulatory Compliance,University of Pennsylvania,"Regulations and Compliance, Critical Thinking, Leadership and Management, Organizational Development, Risk Management, Strategy and Operations, Strategy, Employee Relations, Finance, Audit, Business Process Management, Communication, Accounting, Financial Accounting, Operations Management, People Management, Brand Management, Data Management",4.8,2000,Intermediate - Specialization,3,6
165,AI Product Management,Duke University,"Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Probability & Statistics, Regression, Design and Product, Human Computer Interaction, Communication, Human Factors (Security), Human Learning, User Experience, User Experience Design, Data Analysis, Data Mining, Deep Learning, Project Management, Algorithms, Data Science, Leadership and Management",4.7,38000,Beginner - Specialization,3,6
166,Introduction to Programming with Python and Java,University of Pennsylvania,"Computer Programming, Python Programming, Programming Principles, Java Programming, Computer Programming Tools, Data Analysis, Data Structures, Problem Solving, Computational Logic, Computational Thinking, Critical Thinking, Data Analysis Software, Data Management, Data Visualization, Exploratory Data Analysis, Software Engineering, Data Science",4.4,1000,Beginner - Specialization,3,6
167,Mergers and Acquisitions,University of Illinois at Urbana-Champaign,"Mergers & Acquisitions, Finance, Accounting, Financial Analysis, Financial Accounting, Banking, Business Analysis, Investment Management, Financial Management, Data Analysis, Market Analysis, Corporate Accouting, Taxes",4.6,26000,Intermediate - Specialization,3,6
168,Operating Systems and You: Becoming a Power User,Google,"Linux, Leadership and Management, Operating Systems",4.7,27000,Beginner - Course,1,3
169,Data Science: Foundations using R,Johns Hopkins University,"Data Analysis, R Programming, Statistical Programming, Exploratory Data Analysis, Computer Programming, Computer Programming Tools, Data Management, Programming Principles, Data Analysis Software, Data Structures, Statistical Analysis, Critical Thinking, Problem Solving, General Statistics, Process Analysis, Basic Descriptive Statistics, Computational Thinking, Big Data, Data Mining, Data Visualization, Databases, Extract, Transform, Load, Plot (Graphics), Communication, Computer Graphic Techniques, Computer Graphics, Interactive Data Visualization, Knitr, Visualization (Computer Graphics)",4.6,48000,Beginner - Specialization,3,6
170,Achieving Personal and Professional Success,University of Pennsylvania,"Communication, Human Learning, Professional Development, Critical Thinking, Leadership Development, Leadership and Management, People Analysis, Decision Making, Emotional Intelligence, People Development, Adaptability, Planning, Negotiation, Influencing, Innovation",4.7,3000,Beginner - Specialization,3,6
171,Artificial Intelligence in Marketing,University of Virginia,"Digital Marketing, Marketing, Algorithms, Customer Relationship Management, Market Analysis, Strategy, Machine Learning Software, Marketing Management, Network Analysis, Product Strategy",4.5,16000,Beginner - Course,1,4
172,"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",DeepLearning.AI,"Applied Machine Learning, Deep Learning, Machine Learning, Artificial Neural Networks, Machine Learning Algorithms, Algorithms, Computer Programming, Mathematics, Python Programming, Mathematical Theory & Analysis, Tensorflow, Human Learning",4.9,63000,Intermediate - Course,1,4
173,Business Analytics with Excel: Elementary to Advanced,Johns Hopkins University,"Business Analysis, Data Analysis, Data Visualization, Spreadsheet Software, Data Model, Decision Making, Microsoft Excel, Process Analysis, Statistical Visualization",4.8,1000,Intermediate - Course,1,3
174,Leading People and Teams,University of Michigan,"Human Resources, Leadership and Management, People Development, Strategy and Operations, Leadership Development, Talent Management, Business Psychology, People Analysis, Communication, People Management, Strategy, Human Learning, Human Resources Operations, Business Communication, Collaboration, Influencing, Performance Management, Conflict Management, Employee Relations, Business Analysis, Marketing, Recruitment",4.7,10000,Beginner - Specialization,3,6
175,AI for Good,DeepLearning.AI,"Artificial Neural Networks, Computer Vision, Exploratory Data Analysis, Machine Learning, Natural Language Processing, Python Programming",4.8,17000,Beginner - Specialization,1,3
176,Project Execution: Running the Project,Google,"Leadership and Management, Communication, Project Management, Strategy and Operations, Business Communication, Collaboration, Risk Management, Planning",4.8,7000,Beginner - Course,1,3
177,UCI Project Management,"University of California, Irvine","Leadership and Management, Strategy and Operations, Project Management, Planning",4.7,27000,Beginner - Professional Certificate,3,6
178,(ISC)² Systems Security Certified Practitioner (SSCP),ISC2,"Security Engineering, System Security, Network Security, Software Security, Computer Security Incident Management, Leadership and Management, Security Software, Risk Management, Strategy and Operations, Algorithms, Cloud Computing, Cryptography, Cyberattacks, Operations Management, Security Strategy, Human Factors (Security), Software-Defined Networking, Cloud Applications, Communication, Financial Accounting",4.7,54000,Beginner - Specialization,3,6
179,Crash Course on Python,Google,"Computer Programming, Data Structures, Problem Solving, Python Programming",4.8,35000,Beginner - Course,1,3
180,Programming for Everybody (Getting Started with Python),University of Michigan,"Algorithms, Computational Thinking, Computer Programming, Computer Programming Tools, Critical Thinking, Problem Solving, Programming Principles, Python Programming, Software Engineering, Theoretical Computer Science",4.8,22000,Beginner - Course,1,3
181,Entrepreneurship,University of Pennsylvania,"Entrepreneurship, Strategy, Leadership and Management, Strategy and Operations, Planning, Business Development, Entrepreneurial Finance, Innovation, Finance, Financial Management, Market Research, Business Design, Critical Thinking, Product Strategy, Business Psychology, Decision Making, Financial Accounting, Financial Analysis, Marketing, Accounting, Investment Management, User Research, Collaboration, Network Model",4.8,5000,Beginner - Specialization,3,6
182,People and Soft Skills for Professional and Personal Success,IBM,"Leadership and Management, Communication, Problem Solving, Critical Thinking, Planning, Professional Development, Collaboration, People Management, Conflict Management",4.6,70000,Beginner - Specialization,1,3
183,Salesforce Sales Operations,Salesforce,"Sales, Salesforce, Customer Relationship Management, Sales Systems, Account Management, Leadership and Management, Strategy and Operations, Business Process Management, Customer Success, Marketing, Operations Management, Strategy, B2B Sales, Data Visualization Software, Databases, Business Analysis, Data Visualization",4.6,1000,Beginner - Professional Certificate,3,6
184,"Influencing: Storytelling, Change Management and Governance",Macquarie University,"Leadership and Management, Communication, Business Psychology, Strategy and Operations, Change Management, Conflict Management, Influencing, Organizational Development, Risk Management, Marketing, Negotiation, Sales, Critical Thinking, Decision Making, Entrepreneurship, Human Resources, Probability & Statistics, Business Communication, Employee Relations, Business Process Management, Innovation, People Management, Regulations and Compliance, Storytelling",4.8,3000,Beginner - Specialization,3,6
185,Generative AI: Introduction and Applications,IBM,Natural Language Processing,4.6,75000,Beginner - Course,1,4
186,"Assets, Threats, and Vulnerabilities",Google,"Cryptography, Linux",4.8,1000,Beginner - Course,1,4
187,Genomic Data Science,Johns Hopkins University,"Bioinformatics, Computer Programming, Data Analysis, Python Programming, Computational Thinking, General Statistics, Exploratory Data Analysis, R Programming, Data Analysis Software, Algorithms, Computer Programming Tools, Biostatistics, Statistical Analysis, Programming Principles, Probability & Statistics, Statistical Tests, Data Structures, Operating Systems, Research and Design, Big Data, Computational Logic, Problem Solving, Statistical Programming, Experiment, Correlation And Dependence",4.5,6000,Intermediate - Specialization,3,6
188,The Business of Health Care,University of Pennsylvania,"Leadership and Management, Finance, Decision Making, Performance Management, Strategy and Operations, Operations Management, Business Analysis, Financial Analysis, Financial Management, Business Psychology, Accounting, Accounts Payable and Receivable, Financial Accounting, General Accounting, Management Accounting, People Management, People Analysis, Strategy, Business Process Management, Innovation, Leadership Development, Payments, Behavioral Economics, Problem Solving, Compensation, Correlation And Dependence, Insurance Sales, Research and Design, Risk Management",4.6,1000,Beginner - Specialization,3,6
189,Diseño de Experiencia del Usuario (UX) de Google,Google,"User Experience, User Experience Design, Research and Design, Visual Design, Communication, Design and Product, Persona Research, Product Design, User Research, Adaptability, Graphic Design, Collaboration, Leadership and Management, Mobile Development, Planning, Web Design, Audit",4.8,3000,Beginner - Professional Certificate,3,6
190,Organizational Analysis,Stanford University,"Leadership and Management, Organizational Development, Strategy, Strategy and Operations, Decision Making, Business Psychology, Change Management, Culture, Business Analysis, Business Process Management",4.6,1000,Beginner - Course,1,3
191,Six Sigma Yellow Belt,University System of Georgia,"Process Analysis, Strategy and Operations, Leadership and Management, Data Analysis, Business Analysis, Business Process Management, Performance Management, Probability & Statistics, Operational Analysis, Organizational Development, Problem Solving, Project Management, General Statistics, Planning, Statistical Analysis, Statistical Tests, Critical Thinking, Basic Descriptive Statistics, Operations Management, Statistical Visualization, Correlation And Dependence, Customer Relationship Management, Probability Distribution, Collaboration, Entrepreneurship, Business Psychology, Communication",4.6,,Beginner - Specialization,3,6
192,Analyze Data to Answer Questions,Google,"Data Analysis, Data Management, Microsoft Excel, SQL, Spreadsheet Software",4.6,9000,Beginner - Course,1,4
193,Strategic Leadership and Management,University of Illinois at Urbana-Champaign,"Leadership and Management, Strategy and Operations, Strategy, Leadership Development, Decision Making, Entrepreneurship, Organizational Development, Business Analysis, Business Process Management, Change Management, Business Design, Business Development, Business Transformation, Critical Thinking, Culture, Performance Management, Problem Solving, Operations Management, Human Resources, Marketing, Operational Analysis, Sales, Adaptability, Conflict Management, Influencing, Negotiation, Business Psychology, Research and Design",4.8,8000,Beginner - Specialization,3,6
194,Machine Learning on Google Cloud,Google Cloud,"Machine Learning, Applied Machine Learning, Google Cloud Platform, Human Learning, Machine Learning Software, Cloud Computing, Machine Learning Algorithms, Deep Learning, Cloud Platforms, Artificial Neural Networks, Feature Engineering, Exploratory Data Analysis, Tensorflow, Python Programming, Data Analysis, Data Visualization, Probability & Statistics, Regression, Statistical Programming, Statistical Visualization, Algorithms, SQL, Cloud API, Apache, Extract, Transform, Load",4.5,9000,Intermediate - Specialization,3,6
195,Cybersecurity Fundamentals,IBM,"System Security, Cyberattacks, Cryptography, Network Security, Security Engineering",4.8,41000,Beginner - Specialization,3,6
196,Human Resource Management: HR for People Managers,University of Minnesota,"Human Resources, Human Resources Operations, Employee Relations, Strategy and Operations, People Management, Leadership and Management, Communication, Strategy, Compensation, People Development, Performance Management, Organizational Development, Planning, Professional Development, Recruitment, Business Psychology, People Analysis, Visualization (Computer Graphics), Benefits, Business Analysis, Culture",4.8,14000,Beginner - Specialization,3,6
197,U.S. Federal Taxation,University of Illinois at Urbana-Champaign,"Taxes, Accounting, Financial Accounting, Finance, Critical Thinking, General Accounting, Regulations and Compliance, Financial Analysis, Corporate Accouting, Generally Accepted Accounting Principles (GAAP), Problem Solving, Benefits",4.8,83000,Intermediate - Specialization,3,6
